ナカヤマ株式会社,,,,,止めバネ（大）,S200Kショット部品,WA-0100A,3489,690,個,,個,8,箱,ショット,,,,
ナカヤマ株式会社,,,,,上部ライナー,ショット部品,WA-0241(0108),3499,16500,個,,個,1,個,保全,,,,
ナカヤマ株式会社,,,,,下部ライナー,ショット部品,WA-0242(0109),3500,19500,個,,個,1,個,保全,,,,
ナカヤマ株式会社,,,,,エプロンボルト,,WA-0281,3516,1420,個,,個,1,個,保全,,,,
東研サーモテック株式会社,,,,,（板尾）1037118 アイドラ,,ADI 加工,3537,1374,個,,個,1,個,,,,,
猪木酸素玉島店有限会社,,,,,コレット,半自動溶接機用部品,,3539,750,個,,個,1,個,,,,,
猪木酸素玉島店有限会社,,,,,TB43 Φ3.2,溶接棒・ワイヤー,溶接棒,3559,550,KG,,KG,1,,保全,,,,0
猪木酸素玉島店有限会社,,,,,LB26 Φ3.2,溶接棒・ワイヤー,溶接棒,3560,670,KG,,KG,1,,保全,,,,0
イケダ産業株式会社,,,,,日本サーモテック製 消耗型熱電対,,,3565,235,本,,本,100,箱,電気炉,,,,
石川木型製作所有限会社,,,,,バリ取り冶具,,（ティエラ）スプロケット 1032012,3566,100000,組,,組,1,組,,,,,
石原パッキング工業株式会社 上道工場 ,,,,,ミックスマラーライナープレート（底面） 5G2400B0049,,,3570,54000,枚,,枚,1,枚,保全,,,,
石原パッキング工業株式会社 上道工場 ,,,,,ミックスマラーライナープレート（底面） 5G2400B0050,,,3571,72500,枚,,枚,1,枚,保全,,,,
出井鉄工株式会社,,,,,新品 グラスパーV GT-30 （ZX30U-2用）,,,3581,300900,式,,式,1,式,,,,,
出井鉄工株式会社,,,,,アーム（1）,,716422010D00,3582,4200,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,補助アーム（1）,,716422020B00,3583,3300,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,アーム（2）,,716424010D00,3584,4200,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,補助アーム（2）,,716424020B00,3585,3300,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,サンドカッター,,,3586,5200,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,新品 グラスパーV GV-10K （ZX30U-2用）,,,3589,250700,式,,式,1,式,,,,,
出井鉄工株式会社,,,,,スイングブラケット 15NX,,D41597500,3590,3750,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,スイングブラケット 35NX,,D41348700,3591,6048,個,,個,1,個,,,,,
出井鉄工株式会社,,,,,スイングブラケット 40NX,,D41386600,3592,6336,個,,個,1,個,,,,,
株式会社MonotaRO,,,,,[鍵]一階ティーサーバー,,,5142,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]二階ティーサーバ,,,5143,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]女子トイレ,,,5144,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]男子トイレ,,,5145,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]事務所北口,,,5146,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]社員休憩室,,,5147,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]備品倉庫,,,5148,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]掃除物置,,,5149,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]作業服置場,,,5150,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]軽油車,,,5151,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]枠分離,,,5152,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]社用車（エブリ,,,5153,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]ミニホイルローダー,,,5154,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]技術室,,,5155,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]安全掲示板,,,5156,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]IP倉庫入口,,,5157,,,,,1,,,,,,
株式会社MonotaRO,,,,,[鍵]西工場二階,,,5158,,,,,1,,,,,,
株式会社MonotaRO,,,,,ビニスター A-20 Mサイズ_モノタロウ,,No.632,5159,649,双,,双,1,,,,,,0
株式会社MonotaRO,,,,,ビニスター A-20 Lサイズ_モノタロウ,,No.632,5160,649,双,,双,1,,,,,,1
株式会社MonotaRO,,,,,電子ライター_モノタロウ,,,5161,119,本,,本,20,箱,,,,,1
